Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-212718,"EGFR interacts with phospholipase C-gamma",0,11,1,65,7.82416957109325E-4,0.5875569682437052,0.8243109973782252,2,3,2.5033377837116157E-4,9606,Homo sapiens,"","",INSR,P19174,"R-HSA-212706;R-HSA-212713"
R-HSA-446343,"Localization of the PINCH-ILK-PARVIN complex to focal adhesions",0,4,1,74,2.8451525713066365E-4,0.5875569682437052,0.8243109973782252,1,2,1.6688918558077436E-4,9606,Homo sapiens,"","",ITGA2,P05556,"R-HSA-432897"
R-HSA-75158,"TRAIL  signaling",0,8,1,74,5.690305142613273E-4,0.5875569682437052,0.8243109973782252,1,6,5.006675567423231E-4,9606,Homo sapiens,"","",BTG1,Q13158,"R-HSA-75187"
R-HSA-1442490,"Collagen degradation",1,69,0,7,0.004907888185503947,0.5875569682437052,0.8243109973782252,5,34,0.0028371161548731644,9606,Homo sapiens,"COL1A1","",,,"R-HSA-1454822;R-HSA-1454757;R-HSA-1458433;R-HSA-2473596;R-HSA-2537499"
R-HSA-448424,"Interleukin-17 signaling",3,77,4,202,0.005476918699765275,0.5900307254431114,0.8243109973782252,10,35,0.0029205607476635513,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","Q13115;P30154;Q16828",TLE1;SGK1;ETS1;CREB5,P01100;P15336;P05412;P16220,"R-HSA-450292;R-HSA-450325;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-168053;R-HSA-168440;R-HSA-168136;R-HSA-199935;R-HSA-199917"
R-HSA-8939245,"RUNX1 regulates transcription of genes involved in BCR signaling",1,7,1,70,4.979016999786613E-4,0.5924079686702823,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"RUNX1","Q01196",RUNX1,Q15723,"R-HSA-8938987;R-HSA-8938930;R-HSA-8938965;R-HSA-8938951"
R-HSA-9032500,"Activated NTRK2 signals through FYN",1,11,0,68,7.82416957109325E-4,0.5924079686702823,0.8243109973782252,6,7,5.841121495327102E-4,9606,Homo sapiens,"BDNF","",,,"R-HSA-9032601;R-HSA-9032761;R-HSA-9032798;R-HSA-9032532;R-HSA-9032582;R-HSA-9032502"
R-HSA-194840,"Rho GTPase cycle",2,144,0,28,0.010242549256703891,0.5961588276357217,0.8243109973782252,1,5,4.1722296395193593E-4,9606,Homo sapiens,"DEPDC7;DLC1","",,,"R-HSA-194922"
R-HSA-6803529,"FGFR2 alternative splicing",0,28,3,52,0.0019916067999146453,0.5972021533907692,0.8243109973782252,2,4,3.337783711615487E-4,9606,Homo sapiens,"","",ZMYM2;ATXN1;QKI,P26599;Q6NXG1,"R-HSA-6803527;R-HSA-6803523"
R-HSA-177504,"Retrograde neurotrophin signalling",0,18,1,64,0.0012803186570879864,0.5972021533907692,0.8243109973782252,1,3,2.5033377837116157E-4,9606,Homo sapiens,"","",DLC1,O96015,"R-HSA-177479"
R-HSA-5673000,"RAF activation",1,36,0,41,0.0025606373141759727,0.5972021533907692,0.8243109973782252,2,10,8.344459279038719E-4,9606,Homo sapiens,"PPP2R1B","",,,"R-HSA-5672961;R-HSA-5672957"
R-HSA-157118,"Signaling by NOTCH",10,257,9,673,0.01828010527064514,0.6028754620662469,0.8243109973782252,65,152,0.012683578104138851,9606,Homo sapiens,"TLE1;H3F3B;TFDP2;HEY1;MAML2;H3F3A;HDAC9;PBX1;RUNX1","ENSG00000164683;Q04724;P84243;Q9Y5J3;ENSG00000185630;Q9UKV0;P40424;Q14188;Q8IZL2;Q01196",ASXL1;ATXN1;CITED2;GLI1;ETS1;MEIS2;FOXO1;TP63;CREB5,P05412;P41743;P40424;P31749;Q96J02;Q92793;Q06330;Q09472,"R-HSA-9021451;R-HSA-9021450;R-HSA-9021325;R-HSA-2976551;R-HSA-4396371;R-HSA-1980047;R-HSA-9016861;R-HSA-2127285;R-HSA-4396379;R-HSA-2197562;R-HSA-4395231;R-HSA-4396382;R-HSA-2197564;R-HSA-9013652;R-HSA-2976563;R-HSA-9021334;R-HSA-9021480;R-HSA-9018538;R-HSA-9021357;R-HSA-9016751;R-HSA-9018542;R-HSA-9604664;R-HSA-9021478;R-HSA-1980078;R-HSA-9013693;R-HSA-9013567;R-HSA-1912359;R-HSA-1980067;R-HSA-1980065;R-HSA-9017398;R-HSA-1912415;R-HSA-1980125;R-HSA-9013711;R-HSA-9013568;R-HSA-2976742;R-HSA-1912401;R-HSA-9604446;R-HSA-9604831;R-HSA-9604703;R-HSA-9604829;R-HSA-9604550;R-HSA-1912393;R-HSA-1912394;R-HSA-9021406;R-HSA-1912388;R-HSA-1912391;R-HSA-9604553;R-HSA-9016916;R-HSA-2976716;R-HSA-9017835;R-HSA-9604471;R-HSA-9021412;R-HSA-9604834;R-HSA-9604451;R-HSA-9014141;R-HSA-2197588;R-HSA-9013631;R-HSA-9014129;R-HSA-4396347;R-HSA-9013488;R-HSA-9604328;R-HSA-2976726;R-HSA-1912416;R-HSA-9604719;R-HSA-1980128"
R-HSA-5669034,"TNFs bind their physiological receptors",0,30,1,54,0.0021338644284799773,0.6066227185152857,0.8243109973782252,1,13,0.0010847797062750334,9606,Homo sapiens,"","",EMP1,Q92838,"R-HSA-5669012"
R-HSA-429947,"Deadenylation of mRNA",0,28,1,59,0.0019916067999146453,0.611250401171185,0.8243109973782252,2,4,3.337783711615487E-4,9606,Homo sapiens,"","",RBM4,Q04637,"R-HSA-429955;R-HSA-429992"
R-HSA-1368082,"RORA activates gene expression",0,25,1,56,0.0017782203570666478,0.6158238728017005,0.8243109973782252,2,4,3.337783711615487E-4,9606,Homo sapiens,"","",CITED2,Q09472,"R-HSA-5663264;R-HSA-5663293"
R-HSA-111995,"phospho-PLA2 pathway",0,9,3,73,6.401593285439932E-4,0.6158238728017005,0.8243109973782252,1,3,2.5033377837116157E-4,9606,Homo sapiens,"","",DUSP4;BCL2;ETS1,P28482,"R-HSA-111898"
R-HSA-111931,"PKA-mediated phosphorylation of CREB",0,25,1,59,0.0017782203570666478,0.6158238728017005,0.8243109973782252,2,6,5.006675567423231E-4,9606,Homo sapiens,"","",SGK1,P16220,"R-HSA-111916;R-HSA-111919"
R-HSA-210991,"Basigin interactions",0,26,1,55,0.0018493491713493136,0.6158238728017005,0.8243109973782252,1,10,8.344459279038719E-4,9606,Homo sapiens,"","",CAV2,Q03135,"R-HSA-204549"
R-HSA-111459,"Activation of caspases through apoptosome-mediated cleavage",0,8,2,78,5.690305142613273E-4,0.6203437657800981,0.8243109973782252,2,2,1.6688918558077436E-4,9606,Homo sapiens,"","",DLC1;RUNX1T1,P98170,"R-HSA-114261;R-HSA-114252"
R-HSA-380972,"Energy dependent regulation of mTOR by LKB1-AMPK",0,36,1,49,0.0025606373141759727,0.6203437657800981,0.8243109973782252,1,7,5.841121495327102E-4,9606,Homo sapiens,"","",FKBP5,Q15831,"R-HSA-380942"
R-HSA-8934593,"Regulation of RUNX1 Expression and Activity",2,32,3,152,0.0022761220570453092,0.6241764526242901,0.8243109973782252,18,19,0.0015854472630173564,9606,Homo sapiens,"RUNX1","ENST00000344691;Q01196",INSR;RUNX1;IGF1R,Q00534;Q13951;Q06124,"R-HSA-8938440;R-HSA-8935785;R-HSA-8938507;R-HSA-8937134;R-HSA-8937728;R-HSA-8938853;R-HSA-8937767;R-HSA-8938887;R-HSA-8865320;R-HSA-8935864;R-HSA-8939129;R-HSA-8935930;R-HSA-8936058;R-HSA-8937744;R-HSA-8937682;R-HSA-8938867;R-HSA-8935766;R-HSA-8938487"
R-HSA-4791275,"Signaling by WNT in cancer",2,39,3,148,0.0027740237570239704,0.6241764526242901,0.8243109973782252,9,16,0.0013351134846461949,9606,Homo sapiens,"PPP2R1B;KREMEN1","Q96MU8;P30154",JUP;SOST;BICD1,O75197;P25054;O15169;P49841,"R-HSA-5339713;R-HSA-4827388;R-HSA-4791278;R-HSA-4839635;R-HSA-4839746;R-HSA-4839634;R-HSA-5339711;R-HSA-4839734;R-HSA-4839638"
R-HSA-8964043,"Plasma lipoprotein clearance",1,42,0,49,0.002987410199871968,0.6248107051342815,0.8243109973782252,5,35,0.0029205607476635513,9606,Homo sapiens,"VLDLR","",,,"R-HSA-8855111;R-HSA-8854628;R-HSA-8854462;R-HSA-8855131;R-HSA-8855130"
R-HSA-5467340,"AXIN missense mutants destabilize the destruction complex",1,14,2,74,9.958033999573227E-4,0.6292253086317496,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"PPP2R1B","P30154",JUP;BICD1,P25054;P49841,"R-HSA-4839734"
R-HSA-5632684,"Hedgehog 'on' state",4,92,2,284,0.006543850914005263,0.6296400656860226,0.8243109973782252,17,37,0.003087449933244326,9606,Homo sapiens,"HHIP;GLI1","ENSG00000164161;P08151;Q96QV1;ENSG00000111087",GLI1;TP63,Q96J02;Q9UMX1,"R-HSA-5635861;R-HSA-5635860;R-HSA-5635859;R-HSA-5635868;R-HSA-5635839;R-HSA-5635864;R-HSA-445448;R-HSA-5635845;R-HSA-5635846;R-HSA-5635841;R-HSA-5610723;R-HSA-5635843;R-HSA-5635842;R-HSA-5635853;R-HSA-5610735;R-HSA-5635848;R-HSA-5635850"
R-HSA-389513,"CTLA4 inhibitory signaling",1,25,2,60,0.0017782203570666478,0.6335881868635838,0.8243109973782252,5,5,4.1722296395193593E-4,9606,Homo sapiens,"PPP2R1B","P30154",INSR;IGF1R,Q06124,"R-HSA-388833;R-HSA-388829;R-HSA-389532;R-HSA-390329;R-HSA-388809"
R-HSA-4839735,"AXIN mutants destabilize the destruction complex, activating WNT signaling",1,15,2,74,0.0010669322142399886,0.6335881868635838,0.8243109973782252,1,2,1.6688918558077436E-4,9606,Homo sapiens,"PPP2R1B","P30154",JUP;BICD1,P25054;P49841,"R-HSA-4839734"
R-HSA-8868766,"rRNA processing in the mitochondrion",0,40,1,46,0.002845152571306636,0.6335881868635838,0.8243109973782252,1,6,5.006675567423231E-4,9606,Homo sapiens,"","",CGGBP1,Q6IN84,"R-HSA-6793122"
R-HSA-75876,"Synthesis of very long-chain fatty acyl-CoAs",1,51,0,34,0.0036275695284159614,0.6335881868635838,0.8243109973782252,1,12,0.0010013351134846463,9606,Homo sapiens,"ELOVL4","",,,"R-HSA-548830"
R-HSA-75157,"FasL/ CD95L signaling",0,5,1,86,3.556440714133295E-4,0.6378999433274213,0.8243109973782252,1,5,4.1722296395193593E-4,9606,Homo sapiens,"","",BTG1,Q13158,"R-HSA-83650"
R-HSA-5627117,"RHO GTPases Activate ROCKs",0,24,1,63,0.0017070915427839818,0.6378999433274213,0.8243109973782252,1,6,5.006675567423231E-4,9606,Homo sapiens,"","",ATXN1,P23528,"R-HSA-3928608"
R-HSA-1170546,"Prolactin receptor signaling",0,18,2,69,0.0012803186570879864,0.6378999433274213,0.8243109973782252,1,14,0.0011682242990654205,9606,Homo sapiens,"","",INSR;IGF1R,Q06124,"R-HSA-1369114"
R-HSA-3928663,"EPHA-mediated growth cone collapse",1,33,0,56,0.002347250871327975,0.6421611745095683,0.8243109973782252,3,4,3.337783711615487E-4,9606,Homo sapiens,"EPHA2","",,,"R-HSA-3928651;R-HSA-3928602;R-HSA-3928648"
R-HSA-450520,"HuR (ELAVL1) binds and stabilizes mRNA",0,12,1,76,8.535457713919909E-4,0.6421611745095683,0.8243109973782252,1,7,5.841121495327102E-4,9606,Homo sapiens,"","",FOXO1,Q01105,"R-HSA-450387"
R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",1,37,0,51,0.0026317661284586385,0.6463724699660711,0.8243109973782252,2,15,0.0012516688918558078,9606,Homo sapiens,"GCH1","",,,"R-HSA-1474146;R-HSA-1474158"
R-HSA-9006931,"Signaling by Nuclear Receptors",11,231,12,817,0.016430756099295826,0.6479643617293452,0.8243109973782252,37,93,0.007760347129506008,9606,Homo sapiens,"KANK1;CXCL12;H3F3B;H3F3A;BCL2;CXXC5;ALDH8A1;RUNX1;FKBP5","Q14678;ENSG00000171604;P84243;P10415;ENSG00000171791;ENSG00000107562;P48061;Q9H2A2;Q13451;Q01196;Q7LFL8",CXCL11;ZMYM2;JUP;CITED2;CCDC14;SP4;BCL2;HDAC9;MGLL;QKI;FOXO1;RUNX1T1,O00559;Q13547;Q86X55;P48061;P10415;P22415;O60341;O15169;P14859;Q92793;Q09472;P08047,"R-HSA-9018505;R-HSA-9011981;R-HSA-9023884;R-HSA-8931981;R-HSA-9008271;R-HSA-9011983;R-HSA-8932033;R-HSA-9018499;R-HSA-8939203;R-HSA-8939204;R-HSA-8932037;R-HSA-9011975;R-HSA-9009371;R-HSA-9008285;R-HSA-9018334;R-HSA-8954207;R-HSA-9011985;R-HSA-9011984;R-HSA-9018325;R-HSA-8954199;R-HSA-9009065;R-HSA-9011949;R-HSA-8932076;R-HSA-9032751;R-HSA-9011950;R-HSA-9023840;R-HSA-9012000;R-HSA-9009378;R-HSA-9011941;R-HSA-9038052;R-HSA-5696101;R-HSA-9011966;R-HSA-9011952;R-HSA-8932084;R-HSA-8932020;R-HSA-8932021;R-HSA-9009526"
R-HSA-3065678,"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",0,7,1,87,4.979016999786613E-4,0.6505344124029012,0.8243109973782252,3,3,2.5033377837116157E-4,9606,Homo sapiens,"","",SATB1,P63279,"R-HSA-2993790;R-HSA-2993769;R-HSA-2993780"
R-HSA-2122948,"Activated NOTCH1 Transmits Signal to the Nucleus",0,32,2,60,0.0022761220570453092,0.6505344124029012,0.8243109973782252,2,21,0.0017523364485981308,9606,Homo sapiens,"","",GLI1;TP63,Q96J02,"R-HSA-1980125;R-HSA-1980128"
R-HSA-9013694,"Signaling by NOTCH4",3,92,3,201,0.006543850914005263,0.6519042388052054,0.8243109973782252,9,20,0.0016688918558077437,9606,Homo sapiens,"HEY1;MAML2","ENSG00000164683;Q9Y5J3;Q8IZL2",ASXL1;ATXN1;FOXO1,P31749;Q06330,"R-HSA-9604451;R-HSA-9604550;R-HSA-9013693;R-HSA-9604471;R-HSA-9013711;R-HSA-9604328;R-HSA-9604664;R-HSA-9604553;R-HSA-9604446"
R-HSA-2197563,"NOTCH2 intracellular domain regulates transcription",1,16,2,77,0.0011380610285226546,0.6546475777552085,0.8243109973782252,9,9,7.510013351134847E-4,9606,Homo sapiens,"MAML2","Q8IZL2",ATXN1;CITED2,Q06330;Q09472,"R-HSA-2976716;R-HSA-2197588;R-HSA-2127285;R-HSA-2976551;R-HSA-2976742;R-HSA-2976726;R-HSA-2197562;R-HSA-2197564;R-HSA-2976563"
R-HSA-399956,"CRMPs in Sema3A signaling",0,18,1,72,0.0012803186570879864,0.6546475777552085,0.8243109973782252,1,5,4.1722296395193593E-4,9606,Homo sapiens,"","",BICD1,P49841,"R-HSA-399951"
R-HSA-68877,"Mitotic Prometaphase",3,207,0,86,0.014723664556511843,0.6565563417480347,0.8243109973782252,7,15,0.0012516688918558078,9606,Homo sapiens,"KIF2A;PPP2R1B;DLC1","",,,"R-HSA-2484822;R-HSA-375302;R-HSA-380316;R-HSA-380508;R-HSA-1638803;R-HSA-2468287;R-HSA-1638821"
R-HSA-5602636,"IKBKB deficiency causes SCID",0,3,1,91,2.1338644284799773E-4,0.6587125352656686,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"","",FKBP5,O15111,"R-HSA-5228840"
R-HSA-8851680,"Butyrophilin (BTN) family interactions",0,12,3,80,8.535457713919909E-4,0.6587125352656686,0.8243109973782252,2,8,6.675567423230974E-4,9606,Homo sapiens,"","",C6orf141;ELOVL4;EMP1,Q8WVV5;O60437,"R-HSA-8851988;R-HSA-8938431"
R-HSA-3000170,"Syndecan interactions",2,29,0,169,0.0020627356141973115,0.6591705779177873,0.8243109973782252,2,15,0.0012516688918558078,9606,Homo sapiens,"COL1A1;ITGA2","",,,"R-HSA-2731075;R-HSA-2731074"
R-HSA-8856688,"Golgi-to-ER retrograde transport",3,148,1,153,0.010527064513834554,0.661163884747567,0.8243109973782252,7,18,0.0015020026702269693,9606,Homo sapiens,"KIF2A;DLC1;BICD1","O00139;P63167;Q96G01",ELOVL4,O75396;Q12981,"R-HSA-8849350;R-HSA-8849348;R-HSA-6811426;R-HSA-6811423;R-HSA-6811422;R-HSA-6811417;R-HSA-8849353"
R-HSA-8964616,"G beta:gamma signalling through CDC42",1,21,0,74,0.001493705099935984,0.6627298475618837,0.8243109973782252,5,6,5.006675567423231E-4,9606,Homo sapiens,"GNG11","",,,"R-HSA-8964634;R-HSA-8964604;R-HSA-8964605;R-HSA-8964614;R-HSA-8964599"
R-HSA-112411,"MAPK1 (ERK2) activation",0,12,3,81,8.535457713919909E-4,0.6627298475618837,0.8243109973782252,2,3,2.5033377837116157E-4,9606,Homo sapiens,"","",DUSP4;BCL2;ETS1,P28482,"R-HSA-109858;R-HSA-109864"
R-HSA-3065679,"SUMO is proteolytically processed",0,6,1,88,4.2677288569599545E-4,0.6627298475618837,0.8243109973782252,1,3,2.5033377837116157E-4,9606,Homo sapiens,"","",SATB1,P63165,"R-HSA-2990840"
R-HSA-877312,"Regulation of IFNG signaling",0,16,1,77,0.0011380610285226546,0.6627298475618837,0.8243109973782252,1,4,3.337783711615487E-4,9606,Homo sapiens,"","",SATB1,P63165,"R-HSA-877281"
R-HSA-3214842,"HDMs demethylate histones",0,32,2,63,0.0022761220570453092,0.6627298475618837,0.8243109973782252,3,17,0.0014185580774365822,9606,Homo sapiens,"","",H3F3B;H3F3A;BPTF,P62805,"R-HSA-5661124;R-HSA-5661125;R-HSA-5423117"
R-HSA-174184,"Cdc20:Phospho-APC/C mediated degradation of Cyclin A",0,72,1,22,0.0051212746283519454,0.6667000707329815,0.8243109973782252,1,3,2.5033377837116157E-4,9606,Homo sapiens,"","",FOXO1,P06493,"R-HSA-174255"
R-HSA-5578749,"Transcriptional regulation by small RNAs",1,81,0,14,0.005761433956895938,0.6667000707329815,0.8243109973782252,1,5,4.1722296395193593E-4,9606,Homo sapiens,"H3F3B;H3F3A","",,,"R-HSA-5578742"
R-HSA-193807,"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0,34,4,59,0.0024183796856106408,0.6667000707329815,0.8243109973782252,1,12,0.0010013351134846463,9606,Homo sapiens,"","",EFEMP1;ELOVL4;KRT86;CREB5,Q9H2F3,"R-HSA-193816"
R-HSA-8939211,"ESR-mediated signaling",10,161,12,810,0.01145173909950921,0.6682634562826011,0.8243109973782252,36,72,0.006008010680907877,9606,Homo sapiens,"KANK1;CXCL12;H3F3B;H3F3A;BCL2;CXXC5;RUNX1;FKBP5","Q14678;ENSG00000171604;P84243;P10415;ENSG00000171791;ENSG00000107562;P48061;Q13451;Q01196;Q7LFL8",CXCL11;ZMYM2;JUP;CITED2;CCDC14;SP4;BCL2;HDAC9;MGLL;QKI;FOXO1;RUNX1T1,O00559;Q13547;Q86X55;P48061;P10415;P22415;O60341;O15169;P14859;Q92793;Q09472;P08047,"R-HSA-9018505;R-HSA-9011981;R-HSA-9023884;R-HSA-8931981;R-HSA-9008271;R-HSA-9011983;R-HSA-8932033;R-HSA-9018499;R-HSA-8939203;R-HSA-8939204;R-HSA-8932037;R-HSA-9011975;R-HSA-9009371;R-HSA-9008285;R-HSA-9018334;R-HSA-8954207;R-HSA-9011985;R-HSA-9011984;R-HSA-9018325;R-HSA-8954199;R-HSA-9009065;R-HSA-9011949;R-HSA-8932076;R-HSA-9032751;R-HSA-9011950;R-HSA-9023840;R-HSA-9012000;R-HSA-9009378;R-HSA-9011941;R-HSA-9038052;R-HSA-9011966;R-HSA-9011952;R-HSA-8932084;R-HSA-8932020;R-HSA-8932021;R-HSA-9009526"
R-HSA-8849472,"PTK6 Down-Regulation",0,7,4,88,4.979016999786613E-4,0.6706237544052414,0.8243109973782252,3,3,2.5033377837116157E-4,9606,Homo sapiens,"","",ELOVL4;INSR;MEIS2;IGF1R,Q13882;P18031,"R-HSA-8849428;R-HSA-8849102;R-HSA-8849435"
R-HSA-110056,"MAPK3 (ERK1) activation",0,13,2,83,9.246745856746568E-4,0.6706237544052414,0.8243109973782252,3,4,3.337783711615487E-4,9606,Homo sapiens,"","",PNKD;FOXO1,P27361;P06493,"R-HSA-109857;R-HSA-109863;R-HSA-112342"
R-HSA-202427,"Phosphorylation of CD3 and TCR zeta chains",0,45,1,54,0.003200796642719966,0.6745014418168941,0.8243109973782252,2,7,5.841121495327102E-4,9606,Homo sapiens,"","",IGF1R,P41240,"R-HSA-8855375;R-HSA-203774"
R-HSA-2559585,"Oncogene Induced Senescence",2,42,3,169,0.002987410199871968,0.6756697405031911,0.8243109973782252,7,18,0.0015020026702269693,9606,Homo sapiens,"TFDP2;ETS1","P14921;Q14188",EGR1;ETS1;RUNX1T1,Q8N726;P14921;P08047,"R-HSA-6804998;R-HSA-3209109;R-HSA-3200023;R-HSA-3209111;R-HSA-3209096;R-HSA-3209098;R-HSA-3132737"
R-HSA-6783783,"Interleukin-10 signaling",2,86,1,114,0.006117078028309268,0.6756697405031911,0.8243109973782252,4,15,0.0012516688918558078,9606,Homo sapiens,"LIF","ENSG00000128342;P15018",BICD1,P40763,"R-HSA-6784791;R-HSA-6784323;R-HSA-6784160;R-HSA-6784765"
R-HSA-8866907,"Activation of the TFAP2 (AP-2) family of transcription factors",1,12,2,86,8.535457713919909E-4,0.6783336698920513,0.8243109973782252,2,4,3.337783711615487E-4,9606,Homo sapiens,"CITED2","Q99967",CITED2;FOXO1,Q92754;Q92793;Q09472,"R-HSA-8864307;R-HSA-8864577"
R-HSA-1236394,"Signaling by ERBB4",4,61,2,341,0.00433885767124262,0.6821206068298356,0.8243109973782252,14,37,0.003087449933244326,9606,Homo sapiens,"CXCL12;NRG1","Q02297-10;Q02297;ENSG00000107562;P48061",CXCL11;INSR,P48061;P29353,"R-HSA-1250353;R-HSA-1250357;R-HSA-1251992;R-HSA-1250370;R-HSA-8954207;R-HSA-1977958;R-HSA-1250315;R-HSA-1977959;R-HSA-1236398;R-HSA-1250383;R-HSA-1250220;R-HSA-1250380;R-HSA-1250348;R-HSA-8954199"
R-HSA-380320,"Recruitment of NuMA to mitotic centrosomes",1,97,0,0,0.006899494985418593,0.6821209693137904,0.8243109973782252,2,2,1.6688918558077436E-4,9606,Homo sapiens,"DLC1","",,,"R-HSA-380316;R-HSA-380508"
R-HSA-8941326,"RUNX2 regulates bone development",3,43,2,262,0.003058539014154634,0.6835327638009354,0.8243109973782252,5,32,0.0026702269692923898,9606,Homo sapiens,"COL1A1;HEY1","P02452;ENSG00000108821;Q9Y5J3",TP63;RUNX1,Q9GZV5;Q9UPW6,"R-HSA-8985275;R-HSA-8985627;R-HSA-8985644;R-HSA-9008177;R-HSA-2064932"
R-HSA-6802952,"Signaling by BRAF and RAF fusions",1,72,0,27,0.0051212746283519454,0.6858638645963564,0.8243109973782252,5,5,4.1722296395193593E-4,9606,Homo sapiens,"QKI","",,,"R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-6802932;R-HSA-6802927"
R-HSA-1474228,"Degradation of the extracellular matrix",2,148,1,60,0.010527064513834554,0.6889201050131739,0.8243109973782252,8,105,0.008761682242990653,9606,Homo sapiens,"COL1A1;DCN","P02452;P07585",ELOVL4,P50281,"R-HSA-1454822;R-HSA-1454757;R-HSA-3828025;R-HSA-1592349;R-HSA-1458433;R-HSA-2473596;R-HSA-2537499;R-HSA-2534248"
R-HSA-383280,"Nuclear Receptor transcription pathway",1,84,0,20,0.005974820399743936,0.689562874156614,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"NR4A2","",,,"R-HSA-376419"
R-HSA-180336,"SHC1 events in EGFR signaling",0,18,1,85,0.0012803186570879864,0.689562874156614,0.8243109973782252,1,4,3.337783711615487E-4,9606,Homo sapiens,"","",INSR,P29353,"R-HSA-177925"
R-HSA-179419,"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0,73,1,31,0.005192403442634611,0.6932185103845945,0.8243109973782252,1,6,5.006675567423231E-4,9606,Homo sapiens,"","",FOXO1,P06493,"R-HSA-174255"
R-HSA-1234158,"Regulation of gene expression by Hypoxia-inducible Factor",1,15,2,90,0.0010669322142399886,0.6932185103845945,0.8243109973782252,1,7,5.841121495327102E-4,9606,Homo sapiens,"CITED2","Q99967",CITED2;FOXO1,Q92793;Q09472,"R-HSA-1234167"
R-HSA-9027284,"Erythropoietin activates RAS",0,18,1,85,0.0012803186570879864,0.6932185103845945,0.8243109973782252,1,8,6.675567423230974E-4,9606,Homo sapiens,"","",INSR,P29353,"R-HSA-9027274"
R-HSA-156584,"Cytosolic sulfonation of small molecules",1,72,0,29,0.0051212746283519454,0.6932185103845945,0.8243109973782252,1,24,0.0020026702269692926,9606,Homo sapiens,"SLC35B3","",,,"R-HSA-741449"
R-HSA-2555396,"Mitotic Metaphase and Anaphase",3,211,0,108,0.015008179813642506,0.6942997524271666,0.8243109973782252,2,12,0.0010013351134846463,9606,Homo sapiens,"KIF2A;PPP2R1B;DLC1","",,,"R-HSA-2467809;R-HSA-2467811"
R-HSA-8931987,"RUNX1 regulates estrogen receptor mediated transcription",1,10,1,93,7.11288142826659E-4,0.6968312797132692,0.8243109973782252,7,8,6.675567423230974E-4,9606,Homo sapiens,"RUNX1","Q01196",JUP,O15169,"R-HSA-8932076;R-HSA-8931981;R-HSA-8932033;R-HSA-8932084;R-HSA-8932020;R-HSA-8932037;R-HSA-8932021"
R-HSA-163359,"Glucagon signaling in metabolic regulation",1,40,0,66,0.002845152571306636,0.6968312797132692,0.8243109973782252,1,6,5.006675567423231E-4,9606,Homo sapiens,"GNG11","",,,"R-HSA-825631"
R-HSA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism",0,49,1,53,0.0034853118998506294,0.6968312797132692,0.8243109973782252,1,30,0.0025033377837116156,9606,Homo sapiens,"","",CREB5,Q9H3L0,"R-HSA-3149494"
R-HSA-1250347,"SHC1 events in ERBB4 signaling",1,20,1,85,0.001422576285653318,0.7004016826875121,0.8243109973782252,4,4,3.337783711615487E-4,9606,Homo sapiens,"NRG1","Q02297",INSR,P29353,"R-HSA-1250357;R-HSA-1250383;R-HSA-1250380;R-HSA-1250348"
R-HSA-442729,"CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde",0,11,1,92,7.82416957109325E-4,0.7004016826875121,0.8243109973782252,1,10,8.344459279038719E-4,9606,Homo sapiens,"","",SGK1,P16220,"R-HSA-111912"
R-HSA-5628897,"TP53 Regulates Metabolic Genes",2,125,1,92,0.008891101785333238,0.7017240416416175,0.8243109973782252,6,34,0.0028371161548731644,9606,Homo sapiens,"COX7B;TP63","P24311;Q9H3D4",SGK1,P49815,"R-HSA-198609;R-HSA-5632386;R-HSA-5632732;R-HSA-165179;R-HSA-5632393;R-HSA-163214"
R-HSA-8854518,"AURKA Activation by TPX2",1,74,0,32,0.005263532256917277,0.7039302140322738,0.8243109973782252,2,2,1.6688918558077436E-4,9606,Homo sapiens,"DLC1","",,,"R-HSA-8853405;R-HSA-8853419"
R-HSA-380994,"ATF4 activates genes",0,32,1,75,0.0022761220570453092,0.7039302140322738,0.8243109973782252,1,7,5.841121495327102E-4,9606,Homo sapiens,"","",DBP,P35638,"R-HSA-1791107"
R-HSA-418592,"ADP signalling through P2Y purinoceptor 1",1,29,0,77,0.0020627356141973115,0.7074173627199325,0.8243109973782252,3,7,5.841121495327102E-4,9606,Homo sapiens,"GNG11","",,,"R-HSA-418581;R-HSA-418579;R-HSA-418576"
